campaignid,opcode,level_1,caab_code,level_5,level_2,level_3,level_4,level_6,level_7,level_8,family,genus,species,count
2020-06_south-west_stereoBRUVs,23,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,13
2020-06_south-west_stereoBRUVs,24,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,24,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereoBRUVs,24,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,25,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereoBRUVs,25,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereoBRUVs,26,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,26,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,18
2020-06_south-west_stereoBRUVs,26,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,27,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,27,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,17
2020-06_south-west_stereoBRUVs,27,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,28,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,22
2020-06_south-west_stereoBRUVs,28,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,29,Physical,82003003,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,29,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,11
2020-06_south-west_stereoBRUVs,29,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereoBRUVs,30,Physical,82003004,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,NA,NA,NA,14
2020-06_south-west_stereoBRUVs,30,Physical,82003006,3,Relief,High,High (>3m),NA,NA,NA,NA,NA,NA,8
