campaignid,period,level_1,level_5,level_2,level_3,level_4,level_6,level_7,level_8,caab_code,count
2022-05_PtCloates_Naked-BOSS,260,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,12
2022-05_PtCloates_Naked-BOSS,261,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,13
2022-05_PtCloates_Naked-BOSS,261,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,25
2022-05_PtCloates_Naked-BOSS,261,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,2
2022-05_PtCloates_Naked-BOSS,262,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,26
2022-05_PtCloates_Naked-BOSS,262,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,20
2022-05_PtCloates_Naked-BOSS,262,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2022-05_PtCloates_Naked-BOSS,263,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,6
2022-05_PtCloates_Naked-BOSS,263,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,10
2022-05_PtCloates_Naked-BOSS,263,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,14
2022-05_PtCloates_Naked-BOSS,263,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,3
2022-05_PtCloates_Naked-BOSS,264,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,8
2022-05_PtCloates_Naked-BOSS,264,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,1
2022-05_PtCloates_Naked-BOSS,264,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,29
2022-05_PtCloates_Naked-BOSS,264,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,4
2022-05_PtCloates_Naked-BOSS,265,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,40
2022-05_PtCloates_Naked-BOSS,265,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,8
2022-05_PtCloates_Naked-BOSS,265,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,6
2022-05_PtCloates_Naked-BOSS,266,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,18
2022-05_PtCloates_Naked-BOSS,266,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,34
2022-05_PtCloates_Naked-BOSS,266,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2022-05_PtCloates_Naked-BOSS,267,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,25
2022-05_PtCloates_Naked-BOSS,267,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,15
2022-05_PtCloates_Naked-BOSS,268,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,34
2022-05_PtCloates_Naked-BOSS,268,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,6
2022-05_PtCloates_Naked-BOSS,269,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,57
2022-05_PtCloates_Naked-BOSS,269,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,3
2022-05_PtCloates_Naked-BOSS,270,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,24
2022-05_PtCloates_Naked-BOSS,270,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,4
2022-05_PtCloates_Naked-BOSS,270,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,3
2022-05_PtCloates_Naked-BOSS,270,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,12
2022-05_PtCloates_Naked-BOSS,271,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,9
2022-05_PtCloates_Naked-BOSS,271,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,35
2022-05_PtCloates_Naked-BOSS,272,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,34
2022-05_PtCloates_Naked-BOSS,273,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,5
2022-05_PtCloates_Naked-BOSS,273,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,20
2022-05_PtCloates_Naked-BOSS,273,Physical,2,Relief,Low / moderate,Moderate (1-3m),NA,NA,NA,82003004,1
2022-05_PtCloates_Naked-BOSS,273,Physical,3,Relief,High,High (>3m),NA,NA,NA,82003006,19
2022-05_PtCloates_Naked-BOSS,273,Physical,4,Relief,High,Wall,NA,NA,NA,82003007,11
2022-05_PtCloates_Naked-BOSS,274,Physical,0,Relief,Flat,NA,NA,NA,NA,82003001,28
2022-05_PtCloates_Naked-BOSS,274,Physical,1,Relief,Low / moderate,Low (<1m),NA,NA,NA,82003003,17
