date_raw,sample,time.bottom,year,month,day,date_time,time.end,depth_m,raw.hdd.number,con.hdd.number,latitude_dd,longitude_dd,comment,FishNClipz,forwards.habitat.north.exported,forwards.habitat.north.annotated,forwards.habitat.east.exported,forwards.habitat.east.annotated,forwards.habitat.south.exported,forwards.habitat.south.annotated,forwards.habitat.west.exported,forwards.habitat.west.annotated,successful_habitat_panoramic,observer_habitat_panoramic,downwards.habitat.exported,downwards.habitat.completed,successful_habitat_downward,observer_habitat_downward,habitat notes,site,location,status,observer_count,successful_count,successful_length,video.notes,maxn.analyst,Maxn.complete.yyyymmdd,maxn.checker,length.analyst,length.complete.date.yyyymmdd,notes
20201031,91,09:43:27,2020,10,31,2020-10-31T09:43:27+08:00,09:46:27,42.7,BU4,,-34.0937,114.8939,422 restarted - Sound trap on,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,80,09:51:03,2020,10,31,2020-10-31T09:51:03+08:00,09:54:03,43.1,BU4,,-34.0937,114.8889,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,81,09:59:33,2020,10,31,2020-10-31T09:59:33+08:00,10:02:33,43.3,BU4,,-34.0987,114.8914,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,92,10:07:45,2020,10,31,2020-10-31T10:07:45+08:00,10:10:45,41.3,BU4,,-34.0987,114.8864,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,210,10:19:54,2020,10,31,2020-10-31T10:19:54+08:00,10:22:54,43.9,BU4,,-34.0912,114.8739,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,336,10:28:58,2020,10,31,2020-10-31T10:28:58+08:00,10:31:58,43.1,BU4,,-34.0924,114.8664,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,195,10:37:50,2020,10,31,2020-10-31T10:37:50+08:00,10:40:50,44.4,BU4,,-34.0937,114.8589,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,199,10:47:22,2020,10,31,2020-10-31T10:47:22+08:00,10:50:22,42.7,BU4,,-34.0862,114.8614,Changed all batteries + sync,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,16,11:16:16,2020,10,31,2020-10-31T11:16:16+08:00,11:19:16,41.4,BU4,,-34.0737,114.8689,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,17,11:26:32,2020,10,31,2020-10-31T11:26:32+08:00,11:29:32,41,BU4,,-34.0637,114.8764,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,34,11:34:38,2020,10,31,2020-10-31T11:34:38+08:00,11:37:38,41.4,BU4,,-34.0612,114.8714,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
20201031,15,11:42:46,2020,10,31,2020-10-31T11:42:46+08:00,11:45:46,41.6,BU4,,-34.0612,114.8664,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,UWA MEG,Yes,Yes,Yes,UWA MEG,,,South-west,No-take,,,,,,,,,,
