date,sample,time.bottom,time.end,year,month,day,date_time,depth_m,raw.hdd.number,con.hdd.number,longitude_dd,latitude_dd,comment,planned.or.exploratory,FishnClipz,habitat.image.exported,downwards.image.exported,status,site,location,marine.region,Observer,successful_count,successful_length,successful_habitat_panoramic,successful_habitat_downward,observer_habitat_panoramic,observer_habitat_downward,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210309,128,14:26:53,14:33:21,2021,03,09,2021-03-09T14:26:53+08:00,47.8,RAW2,CON1,114.823,-34.0694,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,60,14:36:23,14:42:28,2021,03,09,2021-03-09T14:36:23+08:00,48.7,RAW2,CON1,114.821,-34.0652,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,134,14:53:24,14:59:44,2021,03,09,2021-03-09T14:53:24+08:00,41.7,RAW2,CON1,114.857,-34.0631,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,120,15:01:57,15:08:56,2021,03,09,2021-03-09T15:01:57+08:00,41.2,RAW2,CON1,114.861,-34.0617,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210309,8,15:13:44,15:20:25,2021,03,09,2021-03-09T15:13:44+08:00,42.5,RAW2,CON1,114.851,-34.0554,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,school of unknowns in west cam out of range
20210309,68,15:24:24,15:30:45,2021,03,09,2021-03-09T15:24:24+08:00,41.1,RAW2,CON1,114.859,-34.05,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,,Claude,20210705,,,,
20210310,117,07:47:40,07:54:41,2021,03,10,2021-03-10T07:47:40+08:00,87.6,RAW3,CON1,114.76,-34.0681,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,Bottom light off,Claude,20210322,,,,
20210310,17,07:59:46,08:06:24,2021,03,10,2021-03-10T07:59:46+08:00,92.2,RAW3,CON1,114.757,-34.0742,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,Bottom light off,Claude,20210322,,,,
20210310,40,08:11:17,08:18:27,2021,03,10,2021-03-10T08:11:17+08:00,97,RAW3,CON1,114.754,-34.0784,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,Bottom light off,Claude,20210322,,,,unknown goby
20210310,72,08:24:26,08:31:11,2021,03,10,2021-03-10T08:24:26+08:00,105,RAW3,CON1,114.747,-34.0685,,MBH,Yes,Yes,Yes,No-take,NA,West Coast,South-west,Claude,Yes,No,Yes,Yes,Yes,Yes,Bottom light off,Claude,20210322,,,,
