"sample","campaignid","relief.rank"
"25","2021-05_PtCloates_stereo-BRUVS",1
"25","2021-05_PtCloates_stereo-BRUVS",0
"25","2021-05_PtCloates_stereo-BRUVS",1
"25","2021-05_PtCloates_stereo-BRUVS",1
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"26","2021-05_PtCloates_stereo-BRUVS",0
"27","2021-05_PtCloates_stereo-BRUVS",2
"27","2021-05_PtCloates_stereo-BRUVS",2
"27","2021-05_PtCloates_stereo-BRUVS",1
"27","2021-05_PtCloates_stereo-BRUVS",1
"27","2021-05_PtCloates_stereo-BRUVS",1
"27","2021-05_PtCloates_stereo-BRUVS",1
"27","2021-05_PtCloates_stereo-BRUVS",3
"27","2021-05_PtCloates_stereo-BRUVS",3
"27","2021-05_PtCloates_stereo-BRUVS",2
"27","2021-05_PtCloates_stereo-BRUVS",0
"27","2021-05_PtCloates_stereo-BRUVS",0
"3","2021-05_PtCloates_stereo-BRUVS",2
"3","2021-05_PtCloates_stereo-BRUVS",1
"3","2021-05_PtCloates_stereo-BRUVS",1
"3","2021-05_PtCloates_stereo-BRUVS",1
"3","2021-05_PtCloates_stereo-BRUVS",2
"3","2021-05_PtCloates_stereo-BRUVS",1
"4","2021-05_PtCloates_stereo-BRUVS",1
"4","2021-05_PtCloates_stereo-BRUVS",1
"4","2021-05_PtCloates_stereo-BRUVS",1
"4","2021-05_PtCloates_stereo-BRUVS",1
"4","2021-05_PtCloates_stereo-BRUVS",1
"4","2021-05_PtCloates_stereo-BRUVS",2
"4","2021-05_PtCloates_stereo-BRUVS",2
"4","2021-05_PtCloates_stereo-BRUVS",2
"4","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"5","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",1
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
"6","2021-05_PtCloates_stereo-BRUVS",0
