"campaignid","sample","depth","multibeam_derivatives_depth","multibeam_derivatives_detrended","multibeam_derivatives_roughness","multibeam_derivatives_tpi","longitude","latitude"
"2020-10_south-west_stereo-BRUVs","IO311",66.1,68.1986999511719,4.82944107055664,0.592071533203125,0.0130119323730469,294076.378401501,6229367.91300211
"2020-10_south-west_stereo-BRUVs","IO312",61.2,62.5204429626465,1.10965752601624,0.379634857177734,-0.0111570358276367,295005.532663729,6229110.73285363
"2020-10_south-west_stereo-BRUVs","IO313",108,105.47240447998,-2.38612508773804,0.268852233886719,0.0456838607788086,293019.848432454,6224906.21483218
"2020-10_south-west_stereo-BRUVs","IO319",124,123.528419494629,0.561044752597809,0.172843933105469,-0.0339584350585938,290706.930970843,6225132.54945973
"2020-10_south-west_stereo-BRUVs","IO327",65.4,68.1441421508789,2.0511748790741,0.437004089355469,-0.0900793075561523,293412.545595297,6232318.61127346
"2020-10_south-west_stereo-BRUVs","IO329",121,119.771865844727,3.12896680831909,0.186668395996094,0.0321693420410156,290198.431272482,6228325.11887075
"2020-10_south-west_stereo-BRUVs","IO330",116,104.589340209961,-2.30473160743713,0.188087463378906,-0.0331659317016602,292827.959486246,6225773.70083653
"2020-10_south-west_stereo-BRUVs","IO331",112,113.915534973145,-3.38350939750671,0.215721130371094,-0.0217914581298828,292441.908521871,6224648.15551266
"2020-10_south-west_stereo-BRUVs","IO332",124,122.564193725586,0.338889956474304,0.225738525390625,0.0489492416381836,291002.607010201,6224751.35301851
"2020-10_south-west_stereo-BRUVs","IO333",127,129.646209716797,5.49147844314575,0.0626068115234375,0.0132675170898438,290179.002121667,6222976.06276389
"2020-10_south-west_stereo-BRUVs","IO334",64,64.3503112792969,3.48640608787537,0.116310119628906,-0.0635309219360352,294688.851696594,6228786.38026901
"2020-10_south-west_stereo-BRUVs","IO335",58,55.6413803100586,-1.00984394550323,0.137203216552734,0.00549793243408203,296420.018900361,6228233.9406141
"2020-10_south-west_stereo-BRUVs","IO336",43.2,43.8041572570801,-1.58188354969025,0.239959716796875,0.0592713356018066,303160.144115602,6225543.87929844
"2020-10_south-west_stereo-BRUVs","IO339",41.1,43.5308074951172,0.192851081490517,1.28252029418945,-0.312739372253418,304100.752842655,6234193.95163426
"2020-10_south-west_stereo-BRUVs","IO34",41.3,41.7044944763184,-0.111376963555813,0.191684722900391,-0.106132984161377,303549.910738638,6229015.06935095
"2020-10_south-west_stereo-BRUVs","IO353",44.1,45.7724914550781,-0.0880261957645416,0.16546630859375,0.0183591842651367,300551.943848074,6229709.17306545
"2020-10_south-west_stereo-BRUVs","IO354",45,45.1875457763672,0.95111358165741,0.679889678955078,0.181544303894043,300665.472280998,6228415.21016751
"2020-10_south-west_stereo-BRUVs","IO355",45,48.2378425598145,-1.29042327404022,0.258476257324219,0.033935546875,307202.371156251,6229806.6697296
"2020-10_south-west_stereo-BRUVs","IO356",46.8,48.0604667663574,-1.74117469787598,0.662799835205078,-0.172021389007568,307915.892075321,6228175.41930967
"2020-10_south-west_stereo-BRUVs","IO357",45.9,47.0027656555176,-1.35346007347107,0.266796112060547,-0.081758975982666,308830.393279664,6226485.33152873
"2020-10_south-west_stereo-BRUVs","IO365",73.7,74.670768737793,4.15992498397827,0.46673583984375,0.0434694290161133,292612.535171154,6232942.20084051
"2020-10_south-west_stereo-BRUVs","IO4",65.6,66.3423919677734,3.34183025360107,0.418434143066406,-0.169045448303223,295314.550396365,6225511.14971181
"2020-10_south-west_stereo-BRUVs","IO5",66.7,67.9933700561523,6.94814395904541,0.810211181640625,-0.332146644592285,294847.140828116,6225778.39683928
"2020-10_south-west_stereo-BRUVs","IO62",105,107.154510498047,-5.03798818588257,0.285369873046875,0.00919914245605469,294033.533063033,6220767.25015646
"2020-10_south-west_stereo-BRUVs","IO66",42.8,43.9899253845215,0.0102342385798693,0.194869995117188,0.0490951538085938,304369.616863394,6234025.06582882
"2020-10_south-west_stereo-BRUVs","IO72",43.6,44.8925933837891,-1.76041662693024,0.146827697753906,-0.0199079513549805,301183.886116293,6231739.45649286
"2020-10_south-west_stereo-BRUVs","IO73",40.4,42.734058380127,-0.885100543498993,0.169090270996094,0.0155200958251953,302320.644364583,6232595.48758999
"2020-10_south-west_stereo-BRUVs","IO74",42.2,43.6088943481445,-1.16397762298584,0.556144714355469,0.146070003509521,301628.085802907,6232580.9723173
"2020-10_south-west_stereo-BRUVs","IO75",42.2,43.1029815673828,-1.18898677825928,0.446128845214844,0.139396190643311,301870.568870855,6232031.27702019
"2020-10_south-west_stereo-BRUVs","IO80",41.6,43.3219032287598,0.241712272167206,0.215206146240234,0.000640392303466797,305239.703521078,6225444.05969918
"2020-10_south-west_stereo-BRUVs","IO81",42,43.5844688415527,0.30255189538002,0.171886444091797,-0.0765385627746582,305481.823757494,6224894.28402745
